date,ticker,open,high,low,close,volume
2020-01-01,AAPL,341.03,343.48,335.84,341.27,8644913
2020-01-02,AAPL,345.08,347.08,341.54,343.34,9986820
2020-01-03,AAPL,341.87,351.13,339.95,345.17,30980791
2020-01-06,AAPL,341.12,344.8,333.82,342.39,39473622
2020-01-07,AAPL,340.58,344.89,340.2,343.03,30769697
2020-01-08,AAPL,340.69,341.68,336.92,339.08,22567472
2020-01-09,AAPL,337.36,341.95,333.24,339.16,16273842
2020-01-10,AAPL,360.31,361.1,355.01,358.17,46171837
2020-01-13,AAPL,356.98,362.81,354.42,357.52,41608137
2020-01-14,AAPL,346.54,352.01,346.07,348.07,40307652
2020-01-15,AAPL,344.58,348.14,340.33,343.53,38792246
2020-01-16,AAPL,341.22,347.44,337.46,342.28,4114359
2020-01-17,AAPL,332.88,337.6,328.36,334.88,44473424
2020-01-20,AAPL,327.97,331.29,325.36,328.1,28502582
2020-01-21,AAPL,330.59,339.25,325.33,328.03,2245537
2020-01-22,AAPL,320.54,323.44,318.82,318.88,13215319
2020-01-23,AAPL,327.62,331.12,325.97,328.47,46555184
2020-01-24,AAPL,333.85,334.71,330.88,331.93,10141932
2020-01-27,AAPL,334.35,336.69,331.65,332.74,12168822
2020-01-28,AAPL,340.88,350.44,339.7,341.38,11883282
2020-01-29,AAPL,337.85,339.76,336.48,339.21,26420740
2020-01-30,AAPL,335.32,335.38,327.41,332.98,15743037
2020-01-31,AAPL,337.66,338.31,332.54,333.55,8099848
2020-02-03,AAPL,335.97,338.56,332.11,335.98,38319361
2020-02-04,AAPL,339.91,346.26,335.15,341.47,32042955
2020-02-05,AAPL,335.75,337.41,332.52,335.62,10139407
2020-02-06,AAPL,335.61,341.68,335.38,336.46,32613466
2020-02-07,AAPL,338.68,342.35,338.14,340.24,7738526
2020-02-10,AAPL,334.54,337.8,330.42,335.08,41043887
2020-02-11,AAPL,348.76,349.89,343.68,344.38,44963572
2020-02-12,AAPL,347.7,352.0,341.77,346.35,36571828
2020-02-13,AAPL,352.93,353.73,347.83,350.8,1450655
2020-02-14,AAPL,351.77,359.62,350.1,353.03,32946101
2020-02-17,AAPL,356.68,361.08,352.65,358.39,37578078
2020-02-18,AAPL,366.23,369.24,358.54,365.48,5590063
2020-02-19,AAPL,354.27,358.77,353.42,355.65,31925792
2020-02-20,AAPL,358.5,359.45,346.23,355.92,10566906
2020-02-21,AAPL,350.95,351.09,348.76,349.24,9678423
2020-02-24,AAPL,349.09,350.75,347.6,347.85,48217378
2020-02-25,AAPL,346.22,349.84,343.7,344.88,16529178
2020-02-26,AAPL,344.37,347.13,343.04,346.53,28932997
2020-02-27,AAPL,346.89,351.99,346.72,348.3,37297662
2020-02-28,AAPL,357.9,362.83,352.68,356.02,40658696
