date,ticker,headline,sentiment_score,source
2025-12-08,UNH,UNH expands into new markets,0.152,Reuters
2025-12-08,MA,MA releases innovative technology,-0.107,Financial Times
2025-12-08,HD,Analysts upgrade HD rating,-0.783,CNBC
2025-12-07,AMZN,Analysts upgrade AMZN rating,-0.021,CNBC
2025-12-07,JNJ,JNJ announces new product launch,0.361,CNBC
2025-12-06,META,META stock rallies on positive outlook,-0.111,Reuters
2025-12-06,V,Analysts upgrade V rating,-0.108,Bloomberg
2025-12-06,DIS,DIS announces new product launch,0.447,CNBC
2025-12-06,DIS,DIS expands into new markets,0.401,Bloomberg
2025-12-06,NVDA,NVDA CEO announces strategic partnership,-0.029,Bloomberg
2025-12-05,CRM,CRM CEO announces strategic partnership,-0.089,Wall Street Journal
2025-12-05,AAPL,AAPL announces new product launch,-0.512,CNBC
2025-12-04,JPM,JPM reports strong quarterly earnings,0.18,Bloomberg
2025-12-04,ADBE,ADBE announces new product launch,-0.041,Reuters
2025-12-04,BAC,BAC announces new product launch,0.831,Financial Times
2025-12-04,NVDA,NVDA stock drops on market concerns,0.354,Wall Street Journal
2025-12-03,V,Analysts upgrade V rating,0.558,Financial Times
2025-12-03,UNH,UNH beats analyst expectations,-0.274,Financial Times
2025-12-03,TSLA,TSLA faces regulatory challenges,0.254,Wall Street Journal
2025-12-02,HD,Analysts upgrade HD rating,0.119,Wall Street Journal
2025-12-02,AMZN,AMZN beats analyst expectations,-0.112,Bloomberg
2025-12-02,GOOGL,GOOGL CEO announces strategic partnership,-0.057,Reuters
2025-12-02,ADBE,Analysts upgrade ADBE rating,-0.704,Bloomberg
2025-12-01,AAPL,AAPL announces new product launch,0.582,Reuters
2025-12-01,JPM,JPM announces new product launch,-0.576,Reuters
2025-12-01,JNJ,JNJ announces new product launch,0.139,Financial Times
2025-11-30,V,V stock rallies on positive outlook,0.355,Bloomberg
2025-11-30,NFLX,NFLX stock drops on market concerns,0.6,Financial Times
2025-11-30,ADBE,ADBE stock rallies on positive outlook,0.762,Bloomberg
2025-11-29,UNH,UNH beats analyst expectations,0.361,Reuters
2025-11-29,AMZN,AMZN releases innovative technology,0.236,CNBC
2025-11-29,UNH,UNH releases innovative technology,0.723,Wall Street Journal
2025-11-29,MSFT,MSFT announces new product launch,-0.063,Reuters
2025-11-29,MA,MA CEO announces strategic partnership,-0.15,Reuters
2025-11-28,TSLA,TSLA beats analyst expectations,0.122,Financial Times
2025-11-28,HD,HD stock drops on market concerns,-0.227,Wall Street Journal
2025-11-28,META,META faces regulatory challenges,-0.206,Wall Street Journal
2025-11-27,GOOGL,GOOGL stock rallies on positive outlook,0.28,Financial Times
2025-11-27,AMZN,AMZN reports strong quarterly earnings,0.076,Financial Times
2025-11-27,AAPL,AAPL announces new product launch,-0.141,Bloomberg
2025-11-26,UNH,UNH stock rallies on positive outlook,0.133,Wall Street Journal
2025-11-26,TSLA,TSLA releases innovative technology,0.255,Reuters
2025-11-26,META,META releases innovative technology,-0.112,Reuters
2025-11-25,V,V stock rallies on positive outlook,0.322,CNBC
2025-11-25,UNH,Analysts upgrade UNH rating,0.054,Wall Street Journal
2025-11-25,NVDA,NVDA beats analyst expectations,0.402,CNBC
