Ticker,Date,Price,Shares,Total Value
AAPL,2024-01-15,185.50,100,18550.00
MSFT,2024-01-15,380.25,50,19012.50
GOOGL,2024-01-15,142.80,75,10710.00
AMZN,2024-01-15,155.30,60,9318.00
NVDA,2024-01-15,495.80,40,19832.00
AAPL,2024-02-15,190.25,100,19025.00
MSFT,2024-02-15,395.80,50,19790.00
GOOGL,2024-02-15,145.60,75,10920.00
AMZN,2024-02-15,162.45,60,9747.00
NVDA,2024-02-15,520.30,40,20812.00
AAPL,2024-03-15,195.70,100,19570.00
MSFT,2024-03-15,405.50,50,20275.00
GOOGL,2024-03-15,148.90,75,11167.50
AMZN,2024-03-15,170.80,60,10248.00
NVDA,2024-03-15,545.20,40,21808.00
